trainSet	testSet	neighbourhood	neighbourhoodSize	threshold	predictor	similarityMetric	predictionMetric	socialNeighbourhood	socialThreshold	RMSE	runTime
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	2	null	userbased	pearson	adjusted	null	null	0.8122592156172904	6.420728
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	2	null	userbased	pearson	adjweighted	null	null	0.8122592156172904	6.382947
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	5	null	userbased	cosine	weighted	null	null	0.8253448985453634	6.243282
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	5	null	userbased	cosine	adjusted	null	null	0.8193374039262633	6.186271
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	5	null	userbased	cosine	adjweighted	null	null	0.8193374039262633	6.169254
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	5	null	userbased	pearson	weighted	null	null	0.8407164636355517	6.386025
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	5	null	userbased	pearson	adjusted	null	null	0.8341418601095479	6.388385
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	5	null	userbased	pearson	adjweighted	null	null	0.8341418601095479	6.44777
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	10	null	userbased	cosine	weighted	null	null	0.8502014355012992	6.305254
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	10	null	userbased	cosine	adjusted	null	null	0.8398763241466006	6.262541
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	10	null	userbased	cosine	adjweighted	null	null	0.839876342976038	6.328665
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	10	null	userbased	pearson	weighted	null	null	0.863162827930084	6.491093
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	10	null	userbased	pearson	adjusted	null	null	0.852314530654359	6.451423
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	10	null	userbased	pearson	adjweighted	null	null	0.8523963550430165	6.481703
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	20	null	userbased	cosine	weighted	null	null	0.8632913930656008	6.358746
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	20	null	userbased	cosine	adjusted	null	null	0.8496287138511288	6.333485
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	20	null	userbased	cosine	adjweighted	null	null	0.8496246395075726	6.281282
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	20	null	userbased	pearson	weighted	null	null	0.8780419482192144	6.482913
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	20	null	userbased	pearson	adjusted	null	null	0.8633074885557701	6.562093
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	20	null	userbased	pearson	adjweighted	null	null	0.8634344558567895	6.452328
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	50	null	userbased	cosine	weighted	null	null	0.8811101139666363	6.49584
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	50	null	userbased	cosine	adjusted	null	null	0.8606507086038426	6.41962
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	50	null	userbased	cosine	adjweighted	null	null	0.8606434933933531	6.33191
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	50	null	userbased	pearson	weighted	null	null	0.8887501750284578	6.481704
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	50	null	userbased	pearson	adjusted	null	null	0.8707858898612537	6.562562
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	50	null	userbased	pearson	adjweighted	null	null	0.8710169698333451	6.588599
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	100	null	userbased	cosine	weighted	null	null	0.8875623242762909	6.54768
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	100	null	userbased	cosine	adjusted	null	null	0.8647243727540478	6.505826
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	100	null	userbased	cosine	adjweighted	null	null	0.8644688618231755	6.536393
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	100	null	userbased	pearson	weighted	null	null	0.885184920053261	6.671558
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	100	null	userbased	pearson	adjusted	null	null	0.8635502377373254	6.67456
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	100	null	userbased	pearson	adjweighted	null	null	0.8633812744877705	6.700022
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	200	null	userbased	cosine	weighted	null	null	0.8812984014820472	6.772869
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	200	null	userbased	cosine	adjusted	null	null	0.8580666637828912	6.695258
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	200	null	userbased	cosine	adjweighted	null	null	0.8579007187269168	6.618441
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	200	null	userbased	pearson	weighted	null	null	0.8720966757680818	6.869729
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	200	null	userbased	pearson	adjusted	null	null	0.8500235301042833	6.891024
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	200	null	userbased	pearson	adjweighted	null	null	0.850264751521903	6.974167
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	500	null	userbased	cosine	weighted	null	null	0.8487909926187385	7.58745
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	500	null	userbased	cosine	adjusted	null	null	0.8243326027018341	7.705058
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	500	null	userbased	cosine	adjweighted	null	null	0.8246829506232907	8.088169
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	500	null	userbased	pearson	weighted	null	null	0.8410817306519957	8.086862
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	500	null	userbased	pearson	adjusted	null	null	0.8116375624769282	8.530988
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	500	null	userbased	pearson	adjweighted	null	null	0.8169781484325441	8.576051
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	1000	null	userbased	cosine	weighted	null	null	0.8264130002076097	9.921775
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	1000	null	userbased	cosine	adjusted	null	null	0.8019317976875263	9.929841
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	1000	null	userbased	cosine	adjweighted	null	null	0.8016430444691691	10.051041
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	1000	null	userbased	pearson	weighted	null	null	0.8405105043581828	9.98941
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	1000	null	userbased	pearson	adjusted	null	null	0.8074514796542054	9.826015
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	1000	null	userbased	pearson	adjweighted	null	null	0.8162125073118138	9.776703
user_artists_n.data__1_2.base	user_artists_n.data__1_2.test	size	1500	null	userbased	cosine	weighted	null	null	0.8249016790965412	10.795318
